id,room,level,fidelity,gradient,flags,verdict
tokenizer,language-models,beginner,faithful,built,-,ok
attention,language-models,advanced,conceptual,built,-,ok
transformer,language-models,intermediate,simplified,built,-,ok
sampling,language-models,intermediate,faithful,built,-,ok
agent-tools,ai-agents,intermediate,simplified,skeleton,"no-forward,gradient-skeleton",review
eval-loop,evaluation,intermediate,simplified,skeleton,"no-forward,gradient-skeleton",review
llm-as-judge,evaluation,intermediate,conceptual,skeleton,"no-forward,gradient-skeleton",review
eval-design,evaluation,intermediate,conceptual,skeleton,"no-forward,gradient-skeleton",review
cost-latency-concepts,production,intermediate,simplified,skeleton,"no-forward,gradient-skeleton",review
observability-concepts,production,intermediate,conceptual,skeleton,"no-forward,gradient-skeleton",review
scaling-laws,foundation-models,intermediate,simplified,skeleton,"no-forward,gradient-skeleton",review
lora,foundation-models,intermediate,simplified,skeleton,"no-forward,gradient-skeleton",review
few-shot,prompt-engineering,beginner,conceptual,skeleton,"no-forward,gradient-skeleton",review
chain-of-thought,prompt-engineering,beginner,conceptual,skeleton,"no-forward,gradient-skeleton",review
seq-parallel,language-models,intermediate,conceptual,built,no-forward,review
flashattn,language-models,advanced,simplified,built,no-forward,review
nextoken,language-models,beginner,conceptual,built,no-forward,review
tempgame,language-models,beginner,conceptual,built,no-forward,review
training-signal,language-models,intermediate,faithful,built,no-forward,review
embeddings,retrieval,beginner,conceptual,skeleton,gradient-skeleton,review
chunking,retrieval,intermediate,simplified,skeleton,gradient-skeleton,review
rag-pipeline,retrieval,intermediate,simplified,skeleton,gradient-skeleton,review
context,retrieval,intermediate,simplified,skeleton,gradient-skeleton,review
agent,ai-agents,advanced,simplified,skeleton,gradient-skeleton,review
multiagent,ai-agents,advanced,conceptual,skeleton,gradient-skeleton,review
guardrails,ai-agents,intermediate,simplified,skeleton,gradient-skeleton,review
debug,evaluation,advanced,conceptual,skeleton,gradient-skeleton,review
aws-bedrock-agentcore,cloud-ai-services,intermediate,faithful,none,gradient-missing,review
vertex-ai-gemini,cloud-ai-services,intermediate,faithful,none,gradient-missing,review
azure-ai-foundry,cloud-ai-services,intermediate,faithful,none,gradient-missing,review
managed-vs-selfhosted,cloud-ai-services,intermediate,faithful,none,gradient-missing,review
enterprise-ai-cost-model,cloud-ai-services,intermediate,faithful,none,gradient-missing,review
vector-db-index-mechanics,vector-infrastructure,advanced,faithful,none,gradient-missing,review
pgvector-vs-managed,vector-infrastructure,intermediate,faithful,none,gradient-missing,review
hybrid-search-design,vector-infrastructure,intermediate,faithful,none,gradient-missing,review
metadata-filtering,vector-infrastructure,intermediate,faithful,none,gradient-missing,review
vector-migration-patterns,vector-infrastructure,intermediate,faithful,none,gradient-missing,review
agent-tracing,observability-tracing,intermediate,faithful,none,gradient-missing,review
prompt-regression-signals,observability-tracing,intermediate,faithful,none,gradient-missing,review
quality-drift,observability-tracing,intermediate,faithful,none,gradient-missing,review
cost-attribution,observability-tracing,intermediate,faithful,none,gradient-missing,review
vision-language-arch,multimodal,advanced,faithful,none,gradient-missing,review
multimodal-rag,multimodal,intermediate,faithful,none,gradient-missing,review
ocr-pipeline-design,multimodal,intermediate,faithful,none,gradient-missing,review
resolution-token-cost,multimodal,intermediate,faithful,none,gradient-missing,review
alignment-techniques,ai-safety-alignment,advanced,faithful,none,gradient-missing,review
red-teaming,ai-safety-alignment,intermediate,faithful,none,gradient-missing,review
jailbreak-taxonomy,ai-safety-alignment,intermediate,faithful,none,gradient-missing,review
safety-measurement,ai-safety-alignment,intermediate,faithful,none,gradient-missing,review
